Timestamp(s),Latency(ms),Success
56.6187,152.196,1
56.8119,116.265,1
56.9713,107.646,1
57.1567,96.7692,1
57.4003,113.243,1
57.5917,98.1383,1
57.8239,132.531,1
58.0264,111.931,1
58.2481,119.33,1
58.5601,236.744,1
58.7512,186.4,1
58.9111,142.05,1
59.0843,142.732,1
59.2948,145.039,1
59.5022,151.575,1
59.6867,132.114,1
60.0197,259.564,1
60.2027,157.28,1
60.2816,59.9195,1
60.4713,51.8789,1
60.6765,50.4364,1
60.9296,77.0455,1
61.2056,102.513,1
61.4236,101.237,1
61.6223,80.0806,1
61.8494,100.793,1
61.9992,64.5017,1
62.1909,50.0471,1
62.4275,60.4777,1
62.6227,44.9815,1
62.8448,45.7388,1
63.0607,48.3421,1
63.2987,66.5101,1
63.5122,62.102,1
63.7679,71.4507,1
63.9778,59.1787,1
64.1802,50.9318,1
64.3856,65.2115,1
64.5877,61.0154,1
64.7762,55.5374,1
64.9924,48.8107,1
65.2179,64.823,1
65.4707,64.9565,1
65.6632,68.2854,1
65.8341,51.5851,1
66.0628,51.9899,1
66.2579,44.7901,1
66.5085,66.5839,1
66.7165,44.1196,1
66.9325,53.1737,1
67.1424,49.1838,1
67.3545,53.2264,1
67.5637,49.0906,1
67.7647,52.7677,1
67.9922,45.9411,1
68.2043,53.5443,1
68.3899,48.1276,1
68.5909,53.0058,1
68.7809,48.1288,1
68.9923,52.0125,1
69.2124,53.977,1
69.4265,59.4266,1
69.6192,55.5448,1
69.8632,79.5069,1
70.0261,57.5191,1
70.2457,55.2017,1
70.4509,54.9729,1
70.6533,46.9657,1
70.8845,55.603,1
71.0889,49.6097,1
71.303,58.0497,1
71.4999,55.1675,1
71.7297,68.6005,1
71.9055,48.3275,1
72.0956,51.6929,1
72.2978,55.9234,1
72.5175,61.8076,1
72.7535,84.6982,1
72.9464,80.5444,1
73.1963,107.669,1
73.3596,81.6777,1
73.5699,81.2469,1
73.7563,70.0078,1
73.9582,66.1301,1
74.1766,90.0195,1
74.3727,88.5384,1
74.6201,94.9573,1
74.7842,74.7608,1
75.0241,91.3114,1
75.2087,77.5505,1
75.4409,111.063,1
75.6221,87.9528,1
75.8788,126.775,1
76.037,86.8076,1
76.2351,79.5585,1
76.4182,64.0223,1
76.6079,66.9827,1
76.794,61.3376,1
77.0293,93.2598,1
77.2129,81.0533,1
77.3861,65.9448,1
77.5967,75.4364,1
77.7875,61.6523,1
77.9824,59.0615,1
78.1969,66.5319,1
78.4016,87.2111,1
78.6067,99.1006,1
78.8212,108.158,1
79.0045,90.1916,1
79.1706,66.3684,1
79.3805,75.5192,1
79.5704,59.9977,1
79.7875,77.7103,1
79.9586,75.5857,1
80.1606,64.323,1
