ImageSize,Schedule,Threads,Sequential,Parallel,Speedup,Efficiency
2048,static,1,1.30066,1.04726,1.24196,124.196
2048,static,2,1.33289,0.528809,2.52055,126.028
2048,static,3,1.34942,0.83959,1.60724,53.5747
2048,static,4,1.42256,0.482691,2.94715,73.6788
2048,static,5,1.49697,0.714212,2.09597,41.9194
2048,static,6,1.49075,0.488292,3.05299,50.8832
